job_title,avg_salary_yearly_mean,avg_salary_yearly_median,avg_salary_yearly_min,avg_salary_yearly_max,count_records,avg_salary_monthly_mean,avg_rating,skills
software development engineer,781570.29,600000.0,12000.0,8700000.0,4702,65130.86,3.92,R
android developer,508105.86,400000.0,12000.0,7100000.0,4058,42342.15,3.88,R
software development engineer (sde),885917.14,700000.0,12000.0,90000000.0,3228,73826.43,3.95,R
front end developer,579359.39,480000.0,24000.0,5400000.0,2824,48279.95,3.95,R
test engineer,502066.44,400000.0,12672.0,5200000.0,2628,41838.87,3.83,R
web developer,439625.3,324000.0,12000.0,4400000.0,1706,36635.44,3.93,R
software development engineer - intern,399218.74,324000.0,12000.0,2700000.0,1542,33268.23,3.97,R
software development engineer in test (sdet),777185.32,624000.0,33792.0,9400000.0,1532,64765.44,3.9,R
backend developer,663233.62,500000.0,24000.0,4200000.0,1068,55269.47,4.01,R
python developer,487069.03,400000.0,24000.0,6900000.0,970,40589.09,4.0,"Python, R"
ios developer,598839.74,500000.0,72000.0,5200000.0,968,49903.31,3.86,R
java developer,447503.88,312000.0,60000.0,4700000.0,774,37291.99,3.82,R
senior ios developer,956468.15,816000.0,12000.0,3800000.0,702,79705.68,3.97,R
senior software development engineer,1120611.43,900000.0,12000.0,8400000.0,700,93384.29,3.89,R
junior java developer,373031.66,300000.0,8448.0,3000000.0,660,31085.97,3.84,R
senior java developer,852494.29,700000.0,84000.0,10000000.0,636,71041.19,3.82,R
software development engineer i,993185.9,925000.0,100000.0,2900000.0,624,82765.49,4.01,R
software development engineer (sde) - intern,447881.91,396000.0,12000.0,2050000.0,594,37323.49,3.98,R
senior android developer,923780.82,800000.0,100000.0,3900000.0,584,76981.74,3.93,R
software development engineer ii,1412490.2,1300000.0,100000.0,3900000.0,408,117707.52,3.96,R
software development engineer (sde) ii,1415428.57,1200000.0,100000.0,9700000.0,406,117952.38,4.01,R
android developer - intern,250800.0,180000.0,24000.0,2200000.0,360,20900.0,3.96,R
front end web developer,441951.81,360000.0,60000.0,2000000.0,332,36829.32,3.98,R
front end developer - intern,231191.89,168000.0,12000.0,1200000.0,292,19265.99,3.98,R
database administrator,822741.26,700000.0,100000.0,4000000.0,286,68561.77,3.86,R
software test engineer,363750.0,300000.0,100000.0,1400000.0,256,30312.5,3.9,R
junior ios developer,395281.25,336000.0,84000.0,1900000.0,256,32940.1,3.9,R
software engineer - java developer,477356.54,400000.0,29568.0,3900000.0,250,39779.71,3.96,R
ios applications developer,586138.67,456000.0,60000.0,3800000.0,240,48844.89,3.81,R
backend developer - intern,252910.07,180000.0,29568.0,1188000.0,232,21075.84,4.04,R
web developer - intern,244644.45,192000.0,2112.0,1200000.0,230,20387.04,3.97,R
software engineer (ios developer),700035.09,600000.0,100000.0,2800000.0,228,58336.26,3.96,R
java software developer,441500.0,400000.0,84000.0,1200000.0,224,36791.67,3.88,R
backend engineer,1015481.48,900000.0,100000.0,3400000.0,216,84623.46,4.17,R
"software engineer, backend",1032933.33,900000.0,100000.0,3000000.0,180,86077.78,3.97,R
ios software developer,589045.45,508000.0,100000.0,1900000.0,176,49087.12,3.97,R
database administrator (database administrator),823162.79,650000.0,100000.0,4400000.0,172,68596.9,3.75,R
ios engineer,785518.14,594000.0,25344.0,3400000.0,172,65459.84,3.95,R
software development engineer in test,970380.95,800000.0,100000.0,3300000.0,168,80865.08,3.94,R
software development engineer in test (sdet) ii,1026845.57,1000000.0,52800.0,3300000.0,158,85570.46,3.98,R
senior front end developer,1347064.94,1000000.0,100000.0,10000000.0,154,112255.41,4.01,R
test engineer - contractor,528906.67,400000.0,200000.0,2500000.0,150,44075.56,3.79,R
oracle database administrator,904328.77,600000.0,100000.0,10000000.0,146,75360.73,3.83,R
senior software development engineer in test,1235485.71,1300000.0,100000.0,3400000.0,140,102957.14,4.02,R
senior database administrator,1188656.72,1000000.0,168000.0,7700000.0,134,99054.73,3.75,R
data scientist,106179.39,102000.0,15500.0,164500.0,131,8848.28,3.78,"AWS, Excel, Python, Spark"
android applications developer,440000.0,348000.0,108000.0,1300000.0,126,36666.67,3.93,R
mobile developer,757770.49,600000.0,144000.0,2700000.0,122,63147.54,4.02,R
senior backend developer,1303571.43,1122000.0,100000.0,4200000.0,112,108630.95,3.98,R
test engineer contractor,340641.81,300000.0,72000.0,1080000.0,106,28386.82,3.73,R
software development engineer (sde1),1144867.92,1100000.0,100000.0,2100000.0,106,95405.66,3.96,R
python/django developer,451547.17,400000.0,120000.0,1500000.0,106,37628.93,3.93,"Python, R"
senior test engineer,567461.54,538000.0,200000.0,1200000.0,104,47288.46,3.82,R
mobile applications developer,619360.0,500000.0,60000.0,2200000.0,100,51613.33,3.96,R
full stack java developer,819265.31,456000.0,36000.0,7700000.0,98,68272.11,3.92,R
junior python developer,312333.33,300000.0,100000.0,700000.0,96,26027.78,3.93,"Python, R"
systems developer/python developer,457866.67,400000.0,100000.0,1400000.0,90,38155.56,3.7,"Python, R"
front end ui developer,533422.22,400000.0,60000.0,1900000.0,90,44451.85,3.86,R
software development engineer iii,2196000.0,2100000.0,24000.0,4500000.0,88,183000.0,3.91,R
"software engineer, backend - intern",292558.14,276000.0,84000.0,876000.0,86,24379.84,4.18,R
android software engineer,702325.58,600000.0,100000.0,3000000.0,86,58527.13,3.91,R
software development engineer in test (sdet) - intern,547047.62,404000.0,36000.0,3400000.0,84,45587.3,3.95,R
backend process,222000.0,202000.0,100000.0,456000.0,84,18500.0,3.75,R
software development engineer - contractor,875952.38,650000.0,100000.0,3300000.0,84,72996.03,3.86,R
java full stack developer,512000.0,400000.0,120000.0,2100000.0,82,42666.67,3.87,R
front end engineer,876339.51,700000.0,48576.0,2500000.0,82,73028.29,3.98,R
senior python developer,864600.0,700000.0,100000.0,2600000.0,80,72050.0,3.92,"Python, R"
sql server database administrator,761000.0,668000.0,100000.0,3400000.0,80,63416.67,3.78,R
python developer - intern,254358.97,228000.0,96000.0,1000000.0,78,21196.58,3.98,"Python, R"
database developer,743000.0,600000.0,100000.0,2300000.0,72,61916.67,3.91,R
java programmer,366888.89,300000.0,100000.0,1000000.0,72,30574.07,3.89,R
software development engineer-ii,1609888.89,1400000.0,200000.0,3200000.0,72,134157.41,4.04,R
java sse,788342.86,600000.0,100000.0,2500000.0,70,65695.24,3.81,
lead software development engineer,1844823.53,1800000.0,100000.0,4500000.0,68,153735.29,3.94,R
junior android developer,287030.3,252000.0,120000.0,648000.0,66,23919.19,3.95,R
middle ios developer,706060.61,600000.0,300000.0,1700000.0,66,58838.38,3.93,R
java/j2ee developer,416250.0,400000.0,100000.0,1100000.0,64,34687.5,3.86,R
test engineer - intern,555117.87,276000.0,100000.0,6600000.0,60,46259.82,3.99,R
senior oracle database administrator,1431724.14,1400000.0,100000.0,3100000.0,58,119310.34,3.68,R
sr ios developer,840428.57,700000.0,348000.0,1900000.0,56,70035.71,3.86,R
sql database administrator,608444.44,500000.0,200000.0,1400000.0,54,50703.7,3.93,R
java software engineer,484740.74,500000.0,100000.0,800000.0,54,40395.06,3.81,R
senior backend engineer,2194666.67,1800000.0,588000.0,5200000.0,54,182888.89,4.16,R
data engineer,91660.38,92000.0,60500.0,132500.0,53,7638.36,3.78,"AWS, Excel, Python, Spark"
senior software test engineer,692615.38,700000.0,120000.0,1700000.0,52,57717.95,3.89,R
software development engineer-1,1010560.0,1100000.0,100000.0,1800000.0,50,84213.33,3.92,R
test analyst,453600.0,300000.0,100000.0,1200000.0,50,37800.0,3.82,
sr software development engineer,1668000.0,1400000.0,600000.0,5600000.0,50,139000.0,4.01,R
ios developer - intern,253669.12,144000.0,60000.0,1047552.0,50,21139.09,3.82,R
associate software development engineer,616560.0,600000.0,200000.0,1300000.0,50,51380.0,3.98,R
mobile app developer,541472.0,440000.0,84000.0,2099328.0,48,45122.67,4.02,R
software development engineer (sde) - contractor,1134782.61,1000000.0,100000.0,4800000.0,46,94565.22,4.07,R
senior software development engineer in test (sdet),1338782.61,1300000.0,200000.0,3700000.0,46,111565.22,3.95,R
front end web developer - intern,205913.04,144000.0,24000.0,500000.0,46,17159.42,4.07,R
oracle applications database administrator,688181.82,600000.0,200000.0,1500000.0,44,57348.48,3.84,R
test lead,466666.67,300000.0,100000.0,1000000.0,42,38888.89,3.8,
ios development,590095.24,500000.0,180000.0,1700000.0,42,49174.6,3.83,
sde-2 backend,2176190.48,2300000.0,900000.0,3300000.0,42,181349.21,4.09,
software development engineer contractor,326000.0,300000.0,24000.0,912000.0,40,27166.67,3.84,R
software development test engineer,772600.0,750000.0,100000.0,1800000.0,40,64383.33,4.07,R
java,366200.0,288000.0,84000.0,800000.0,40,30516.67,3.78,
android app developer,460800.0,400000.0,100000.0,2000000.0,40,38400.0,3.52,R
senior java/j2ee developer,962200.0,774000.0,156000.0,3100000.0,40,80183.33,3.76,R
android developer - contractor,768421.05,600000.0,200000.0,2000000.0,38,64035.09,3.57,R
software tester,282736.84,276000.0,96000.0,600000.0,38,23561.4,3.83,R
python automation engineer,639555.56,600000.0,204000.0,1400000.0,36,53296.3,3.94,"Python, R"
android engineer,1029555.56,998000.0,120000.0,2900000.0,36,85796.3,3.86,R
sr. android developer,1085882.35,800000.0,396000.0,4200000.0,34,90490.2,4.2,R
associate java developer,404941.18,300000.0,120000.0,700000.0,34,33745.1,3.89,R
junior java developer - intern,247058.82,180000.0,96000.0,1116000.0,34,20588.24,3.98,R
senior data scientist,134867.65,131750.0,98500.0,237500.0,34,11238.97,4.0,"AWS, Excel, Python, Spark"
senior oracle-dba,1122117.65,1000000.0,200000.0,2500000.0,34,93509.8,3.86,R
software development engineer in test (sdet) - contractor,589250.0,500000.0,100000.0,1152000.0,32,49104.17,3.89,R
android developer contractor,520434.0,402000.0,120000.0,2021184.0,32,43369.5,4.0,R
backend engineer - intern,279000.0,220000.0,60000.0,1000000.0,32,23250.0,4.09,R
sql-dba,691000.0,650000.0,100000.0,1300000.0,32,57583.33,3.88,
test automation engineer,371250.0,300000.0,200000.0,800000.0,32,30937.5,3.81,R
lead software development engineer in test,1416666.67,1400000.0,100000.0,2900000.0,30,118055.56,4.0,R
senior software engineer - java developer,1341600.0,900000.0,324000.0,8000000.0,30,111800.0,3.75,R
lead ios developer,1437866.67,1300000.0,200000.0,3500000.0,30,119822.22,3.82,R
sr. front end developer,1101866.67,1000000.0,216000.0,2400000.0,30,91822.22,3.91,R
android - intern,228889.6,216000.0,25344.0,528000.0,30,19074.13,4.05,R
web developer - contractor,542666.67,500000.0,100000.0,1300000.0,30,45222.22,3.97,R
senior android engineer,2146857.14,2100000.0,800000.0,3800000.0,28,178904.76,3.95,R
front end developer - contractor,778571.43,700000.0,300000.0,1500000.0,28,64880.95,4.17,R
front-end developer,491714.29,500000.0,192000.0,900000.0,28,40976.19,3.96,R
ios software engineer,746857.14,700000.0,400000.0,1400000.0,28,62238.1,4.04,R
front end cashier,223714.29,208000.0,72000.0,700000.0,28,18642.86,3.81,R
software development engineer (sde) i,1288571.43,1170000.0,300000.0,3300000.0,28,107380.95,3.84,R
amazon software development engineer,795571.43,450000.0,200000.0,2100000.0,28,66297.62,3.9,"AWS, R"
python programmer,353796.92,288000.0,63360.0,1176000.0,26,29483.08,4.11,"Python, R"
testing engineer,361538.46,300000.0,200000.0,600000.0,26,30128.21,3.72,R
lead android developer,1454461.54,1400000.0,456000.0,2900000.0,26,121205.13,3.99,R
software development engineer-iii,1960923.08,1700000.0,500000.0,3900000.0,26,163410.26,4.11,R
web developer contractor,237000.0,240000.0,100000.0,408000.0,24,19750.0,4.13,R
software development engineer-i,1208333.33,1350000.0,200000.0,2100000.0,24,100694.44,3.88,R
performance test engineer,408666.67,400000.0,200000.0,600000.0,24,34055.56,3.83,R
python/odoo developer,400000.0,306000.0,100000.0,1152000.0,24,33333.33,4.02,"Python, R"
tester,431333.33,400000.0,96000.0,996000.0,24,35944.44,3.92,R
database architect,2271000.0,2250000.0,552000.0,3300000.0,24,189250.0,4.04,R
senior mobile applications developer,1325000.0,1200000.0,700000.0,2600000.0,24,110416.67,3.85,R
mobile engineer,1013666.67,900000.0,216000.0,2800000.0,24,84472.22,3.97,R
